Time;el_load;prec;temp;rhum;grad;pres;wind;Vel_tviz;Bal_tviz;holiday;weekend;covid
2017-07-18 01:00:00;3713.13;0.0;14.561538461538463;76.95145631067962;0.0;1021.4972222222223;0.7782178217821781;22.1;24.2;0.0;0.0;0.0
2017-07-18 02:00:00;3691.601;0.0;14.044230769230769;78.58252427184466;0.0;1021.3194444444445;0.7594059405940594;22.3;24.0;0.0;0.0;0.0
2017-07-18 03:00:00;3744.879;0.0;13.690384615384618;80.07766990291262;0.018518518518518517;1021.372222222222;0.7693069306930692;21.6;23.9;0.0;0.0;0.0
2017-07-18 04:00:00;3911.231;0.0;13.680769230769231;80.46601941747574;6.714814814814815;1021.6222222222223;0.8079207920792079;21.7;23.7;0.0;0.0;0.0
2017-07-18 05:00:00;4466.14;0.0;15.58173076923077;75.02912621359224;41.51851851851852;1021.6666666666666;0.6653465346534653;21.5;23.6;0.0;0.0;0.0
2017-07-18 06:00:00;4871.818;0.0;18.974038461538463;63.067961165048544;98.02592592592592;1021.5972222222222;0.6544554455445546;21.6;23.5;0.0;0.0;0.0
2017-07-18 07:00:00;5035.459;0.0;22.045192307692307;52.36893203883495;163.62962962962962;1021.2249999999999;0.904950495049505;21.6;23.6;0.0;0.0;0.0
2017-07-18 08:00:00;5191.412;0.0;24.533653846153847;43.262135922330096;227.8814814814815;1021.0222222222224;1.2198019801980198;21.6;23.7;0.0;0.0;0.0
2017-07-18 09:00:00;5302.004;0.0;26.213461538461537;37.349514563106794;271.05925925925925;1020.7916666666666;1.5178217821782178;21.7;23.9;0.0;0.0;0.0
2017-07-18 10:00:00;5402.482;0.0;27.259615384615383;33.99029126213592;297.3703703703704;1020.4694444444444;1.8782178217821779;21.9;24.0;0.0;0.0;0.0
2017-07-18 11:00:00;5460.302;0.0;27.9125;32.85436893203884;303.61851851851856;1020.061111111111;2.0544554455445545;22.0;24.4;0.0;0.0;0.0
2017-07-18 12:00:00;5442.003;0.0;28.495192307692307;31.805825242718445;313.56666666666666;1019.563888888889;2.177227722772277;22.1;25.0;0.0;0.0;0.0
2017-07-18 13:00:00;5422.25;0.0;28.93846153846154;30.941747572815533;279.94444444444446;1019.122222222222;2.2069306930693067;22.2;25.1;0.0;0.0;0.0
2017-07-18 14:00:00;5445.157;0.0;29.18942307692308;30.766990291262136;253.4037037037037;1018.7194444444443;2.2069306930693067;22.5;25.4;0.0;0.0;0.0
2017-07-18 15:00:00;5382.238;0.0;29.189423076923074;30.980582524271846;198.46296296296296;1018.3277777777779;2.143564356435644;22.6;25.5;0.0;0.0;0.0
2017-07-18 16:00:00;5317.142;0.0;28.927884615384617;31.699029126213592;146.92592592592592;1018.0055555555555;2.0752475247524753;23.9;25.4;0.0;0.0;0.0
2017-07-18 17:00:00;5245.701;0.0;28.272115384615386;33.51456310679612;83.45555555555556;1017.813888888889;1.9346534653465353;23.5;25.6;0.0;0.0;0.0
